"lawType","lcDispositionDirection","certReason","presAffiliation","justicesDecision"
"1","2","1",0,0
"4","2","11",0,1
"3","2","11",0,0
"6","2","1",0,0
"3","1","1",0,0
"6","2","11",0,0
"5","2","11",0,1
"9","2","10",0,0
"5","1","12",0,0
"2","1","12",0,0
"3","2","12",0,0
"2","2","12",0,1
"6","1","2",0,1
"2","1","1",0,1
"3","1","2",0,0
"3","1","12",0,1
"3","1","1",0,0
"3","2","12",0,1
"6","2","10",0,0
"2","1","4",0,0
"2","1","12",0,0
"3","2","1",0,0
"3","2","12",0,1
"4","2","12",0,0
"2","2","11",0,0
"3","2","12",0,0
"2","2","1",0,0
"2","1","5",0,1
"3","2","1",0,0
"3","2","2",0,0
"2","2","1",0,0
"6","1","11",0,0
"1","2","12",0,0
"2","1","12",0,0
"2","1","1",0,1
"3","2","11",0,1
"6","2","11",0,1
"6","1","2",0,1
"2","1","12",0,0
"1","1","10",0,0
"3","2","12",0,0
"2","2","12",0,0
"3","2","2",0,0
"3","2","12",0,0
"2","1","1",0,1
"2","1","6",0,0
"3","1","12",0,0
"3","2","12",0,0
"2","2","1",0,0
"2","2","1",0,0
"2","2","1",0,0
"3","2","2",0,0
"3","1","12",0,0
"3","1","7",0,0
"3","2","12",0,0
"3","2","1",0,0
"2","1","1",0,1
"3","1","10",0,1
"2","1","1",0,0
"3","1","12",0,0
"3","2","1",0,0
"3","2","12",0,0
"2","1","11",0,1
"6","2","2",0,0
"2","1","11",0,0
"2","1","12",0,0
"3","2","2",0,0
"2","1","1",0,0
"3","1","2",0,1
"2","2","3",0,1
"2","1","12",0,0
"3","2","1",0,1
"3","1","2",0,0
"2","2","12",0,1
"4","1","11",0,0
"9","1","12",0,0
"2","1","1",0,0
"2","2","1",0,1
"6","1","11",0,0
"3","2","3",0,0
"6","1","3",0,0
"2","1","12",0,0
"2","1","12",0,0
"4","2","12",0,1
"3","2","11",0,0
"6","2","10",0,1
"5","1","1",0,0
"3","2","12",0,1
"2","2","11",0,0
"5","1","12",0,0
"2","2","1",0,0
"2","1","12",0,1
"2","2","3",0,1
"6","1","12",0,1
"6","1","12",0,0
"2","1","11",0,0
"6","2","1",0,1
"2","1","12",0,1
"3","2","4",0,0
"3","1","12",0,0
"6","1","1",0,0
"3","1","12",0,0
"6","1","2",0,0
"6","1","11",0,0
"2","2","3",0,1
"6","2","12",0,1
"6","2","10",0,1
"3","2","12",0,0
"3","1","12",0,0
"3","1","10",0,0
"2","2","11",0,0
"2","1","12",0,0
"3","1","11",0,1
"3","2","12",0,0
"3","1","3",0,0
"3","2","11",0,0
"2","1","10",0,0
"3","1","11",0,1
"4","1","11",0,0
"2","1","12",0,0
"6","2","2",0,1
"3","2","11",0,0
"3","2","12",0,1
"3","1","2",0,0
"2","1","11",0,0
"3","2","11",0,0
"3","2","2",0,0
"3","2","3",0,0
"3","2","2",0,1
"2","2","1",0,1
"3","1","12",0,0
"3","2","12",0,0
"3","1","11",0,0
"3","2","10",0,0
"5","2","1",0,1
"3","1","12",0,0
"2","1","11",0,1
"6","2","10",0,0
"2","1","12",0,0
"1","1","11",0,0
"2","1","10",0,0
"3","2","12",0,0
"2","2","12",0,0
"2","1","12",0,0
"6","1","2",0,0
"2","2","11",0,0
"2","1","12",0,1
"2","1","12",0,0
"3","1","1",0,0
"3","2","10",0,0
"2","2","1",0,0
"3","1","5",0,1
"2","1","1",0,0
"2","1","1",0,0
"2","2","12",0,1
"3","2","12",0,0
"3","2","12",0,1
"2","2","11",0,1
"2","2","1",0,0
"2","2","10",0,0
"2","1","12",0,0
"2","2","1",0,1
"3","2","12",0,0
"3","1","11",0,0
"2","2","12",0,0
"6","1","1",0,0
"3","1","4",0,0
"2","1","12",0,1
"2","2","12",0,1
"3","2","1",0,0
"3","1","11",0,0
"2","2","1",0,0
"2","2","1",0,0
"3","2","12",0,1
"3","1","2",0,1
"2","1","1",0,0
"3","1","3",0,0
"2","1","12",0,0
"2","1","12",0,0
"2","1","11",0,0
"5","2","12",0,1
"2","1","12",0,1
"1","2","2",0,1
"6","2","11",0,0
"3","1","12",0,0
"2","2","2",0,1
"2","1","11",0,0
"3","1","12",0,0
"2","1","12",0,0
"1","1","2",0,0
"4","2","1",0,0
"3","1","12",0,0
"3","1","11",0,0
"6","2","12",0,0
"3","1","2",0,0
"4","1","12",0,0
"2","1","1",0,0
"3","2","11",0,1
"3","1","11",0,0
"3","2","11",0,0
"2","1","13",0,0
"2","2","1",0,0
"2","1","11",0,0
"2","1","12",0,0
"2","1","11",0,0
"4","1","12",0,0
"6","2","2",0,0
"2","1","11",0,0
"6","1","11",0,0
"3","2","10",0,1
"6","1","11",0,0
"2","1","12",0,0
"3","1","12",0,0
"2","2","11",0,0
"2","2","2",0,1
"3","2","2",0,0
"3","1","12",0,0
"2","2","11",0,1
"2","1","1",0,0
"6","2","11",0,1
"1","2","1",0,0
"2","1","11",0,0
"3","2","11",0,1
"3","2","10",0,1
"2","2","10",0,1
"3","1","10",0,0
"1","1","12",0,0
"3","2","4",0,0
"3","2","1",0,0
"2","1","1",0,0
"2","2","1",0,1
"3","2","11",0,0
"2","2","1",0,1
"2","1","11",0,0
"2","1","12",0,0
"3","1","10",0,0
"2","2","12",0,1
"2","1","10",0,0
"2","2","2",0,1
"6","2","1",0,0
"1","1","12",0,1
"6","1","2",0,1
"6","2","12",0,0
"6","1","1",0,0
"2","2","12",0,1
"3","2","11",0,1
"3","2","2",0,0
"3","1","2",0,0
"2","1","1",0,1
"2","1","12",0,1
"2","2","12",0,0
"2","2","1",0,0
"3","1","1",0,0
"3","2","12",0,1
"2","2","2",0,0
"3","2","2",0,1
"2","1","1",0,0
"2","1","11",0,0
"2","2","11",0,1
"6","2","2",0,0
"2","1","1",0,0
"3","1","12",0,0
"6","2","2",0,0
"3","2","12",0,0
"3","1","13",0,0
"2","2","12",0,1
"2","1","12",0,0
"1","1","1",0,1
"2","1","11",0,1
"2","1","11",0,0
"5","2","5",0,1
"3","1","1",0,0
"6","2","1",0,1
"2","1","1",0,0
"2","2","12",0,1
"3","1","2",0,0
"3","2","10",0,1
"2","2","10",0,1
"6","2","4",0,1
"3","1","12",0,0
"6","1","12",0,0
"2","2","1",0,0
"4","2","11",0,0
"2","1","10",0,0
"3","2","11",0,0
"1","2","1",0,0
"2","2","2",0,1
"2","1","12",0,0
"2","1","1",0,0
"6","1","12",0,0
"3","2","12",0,0
"2","1","12",0,1
"1","1","3",0,0
"2","2","1",0,1
"2","1","12",0,0
"2","1","12",0,1
"4","2","12",0,0
"3","2","11",0,0
"3","1","2",0,1
"2","1","2",0,0
"2","2","1",0,0
"2","1","11",0,0
"2","1","1",0,0
"3","2","12",0,1
"6","2","12",0,0
"2","1","5",0,0
"3","1","2",0,0
"2","1","1",0,1
"2","1","1",0,0
"2","1","1",0,0
"3","2","12",0,1
"2","1","11",0,0
"3","1","10",0,0
"3","2","12",0,1
"2","1","12",0,1
"3","2","12",0,1
"6","1","4",0,1
"2","2","12",0,0
"4","2","12",0,1
"3","2","11",0,0
"2","1","12",0,0
"2","1","12",0,1
"2","2","12",0,1
"3","2","12",0,0
"2","1","1",0,0
"2","2","1",0,1
"3","1","11",0,0
"3","2","12",0,0
"3","2","2",0,1
"3","2","12",0,1
"3","2","3",0,0
"1","1","12",0,1
"3","1","2",0,1
"2","1","1",0,0
"4","1","2",0,1
"6","1","12",0,0
"2","1","12",0,0
"3","1","11",0,0
"5","1","12",0,1
"3","2","1",0,1
"2","1","11",0,0
"3","2","11",0,1
"6","2","12",0,1
"2","1","12",0,0
"2","2","13",0,1
"2","2","12",0,1
"2","2","1",0,1
"3","1","2",0,0
"3","1","12",0,0
"3","2","11",0,0
"2","2","10",0,1
"5","1","12",0,0
"6","1","2",0,0
"6","2","10",0,0
"3","1","2",0,1
"3","2","2",0,0
"3","1","11",0,0
"2","1","2",0,0
"3","2","1",0,0
"2","1","12",0,0
"2","2","11",0,0
"3","2","10",0,0
"3","2","2",0,0
"5","2","11",0,0
"3","2","12",0,0
"3","2","2",0,0
"2","2","12",0,0
"3","1","11",0,0
"1","2","1",0,0
"3","2","11",0,0
"2","2","5",0,0
"3","2","10",0,0
"6","2","11",0,0
"2","1","12",0,0
"2","1","11",0,0
"3","2","2",0,0
"3","2","12",0,0
"2","2","12",0,1
"2","2","2",0,1
"2","1","11",0,0
"2","1","11",0,0
"2","2","1",0,0
"6","2","10",0,0
"2","2","12",0,0
"3","1","2",0,0
"3","1","2",0,0
"3","1","10",0,1
"6","1","3",0,0
"2","1","12",0,0
"1","1","1",0,0
"2","2","12",0,0
"3","1","12",0,0
"2","1","1",0,0
"6","2","12",0,1
"2","1","1",0,1
"2","1","11",0,0
"2","2","12",0,1
"3","2","2",0,0
"2","1","12",0,0
"2","1","1",0,0
"2","1","11",0,0
"6","1","2",0,0
"6","2","12",0,1
"6","1","12",0,0
"2","2","12",0,0
"1","2","12",0,0
"2","2","1",0,0
"3","1","1",0,0
"4","1","2",0,0
"2","2","1",0,0
"3","1","1",0,0
"3","1","12",0,0
"2","1","1",0,0
"2","1","12",0,0
"6","1","4",0,0
"2","2","12",0,1
"2","1","1",0,1
"6","1","12",0,0
"4","2","12",0,0
"3","1","12",0,0
"2","2","12",0,0
"6","2","10",0,0
"2","2","11",0,1
"3","2","2",0,0
"6","2","12",0,0
"6","2","2",0,1
"3","2","12",0,0
"3","2","3",0,0
"2","2","1",0,0
"3","2","13",0,0
"3","2","2",0,1
"2","1","12",0,0
"5","2","11",0,1
"3","1","10",0,0
"3","2","2",0,0
"2","2","2",0,1
"2","1","12",0,0
"3","2","3",0,0
"2","2","3",0,1
"2","2","1",0,1
"1","3","10",0,1
"2","2","1",0,1
"3","1","2",0,1
"6","1","11",0,0
"2","1","12",0,0
"2","2","1",0,0
"6","2","1",0,0
"3","2","3",0,1
"3","1","12",0,0
"3","1","1",0,1
"3","1","2",0,0
"2","2","11",0,1
"2","2","12",0,1
"2","2","1",0,0
"3","2","2",0,0
"3","2","2",0,1
"2","1","11",0,0
"2","2","1",0,0
"1","2","12",0,1
"2","2","3",0,0
"2","2","1",0,0
"3","1","3",0,0
"6","1","12",0,0
"3","2","3",0,0
"3","2","11",0,1
"2","2","12",0,0
"6","2","1",0,0
"3","1","12",0,0
"2","1","11",0,0
"2","1","1",0,0
"2","1","1",0,0
"2","2","10",0,1
"3","2","2",0,0
"2","2","1",0,0
"4","2","2",0,0
"6","1","11",0,1
"3","1","11",0,0
"3","1","10",0,0
"3","2","12",0,1
"2","2","12",0,1
"2","1","11",0,1
"6","2","2",0,0
"3","2","12",0,0
"3","2","12",0,1
"3","1","10",0,1
"2","2","1",0,1
"2","2","1",0,0
"3","2","1",0,0
"2","1","10",0,0
"3","2","2",0,1
"3","1","12",0,1
"2","1","12",0,0
"4","2","2",0,1
"6","2","2",0,0
"2","1","5",0,0
"3","2","2",0,1
"3","2","1",0,1
"2","2","11",0,1
"6","1","12",0,0
"2","2","12",0,1
"6","2","12",0,0
"6","2","1",0,1
"3","1","12",0,0
"2","1","5",0,1
"3","2","12",0,0
"3","2","3",0,0
"2","2","12",0,1
"3","1","11",0,0
"6","2","2",0,0
"3","2","10",0,0
"2","2","12",0,0
"2","1","2",0,1
"3","1","2",0,0
"3","2","12",0,1
"6","1","10",0,0
"6","2","12",0,1
"2","1","1",0,0
"6","1","2",0,0
"2","2","1",0,0
"6","1","1",0,0
"3","1","1",0,0
"2","1","11",0,0
"3","2","12",0,0
"1","1","12",0,0
"2","1","3",0,0
"3","1","10",0,0
"3","2","4",0,0
"2","1","5",0,1
"2","2","11",0,1
"2","2","12",0,0
"2","2","1",0,1
"2","1","1",0,0
"2","1","1",0,0
"3","1","2",0,0
"3","2","11",0,1
"1","1","1",0,0
"3","2","10",0,1
"2","2","10",0,1
"2","2","11",0,1
"6","2","6",0,0
"1","1","12",0,0
"2","2","10",0,1
"2","1","12",0,0
"6","2","12",0,1
"3","2","11",0,0
"6","1","2",0,0
"1","1","11",0,0
"2","1","11",0,1
"5","2","5",0,1
"2","2","1",0,0
"3","2","1",0,1
"3","2","4",0,0
"3","1","10",0,0
"6","2","2",0,0
"2","1","12",0,0
"2","2","11",0,0
"4","1","1",0,0
"6","1","10",0,0
"2","2","12",0,1
"3","1","2",0,0
"6","2","11",0,0
"2","1","1",0,0
"6","2","2",0,0
"5","2","12",0,0
"3","1","2",0,0
"3","1","11",0,0
"3","2","11",0,0
"6","1","2",0,1
"2","2","10",0,0
"3","2","12",0,0
"1","1","1",0,0
"2","1","11",0,0
"2","1","1",0,0
"2","1","13",0,1
"2","2","12",0,1
"4","2","11",0,0
"6","1","11",0,1
"3","2","12",0,0
"6","2","12",0,0
"2","1","1",0,0
"1","3","10",0,0
"6","2","3",0,0
"2","1","1",0,0
"2","2","13",0,1
"3","2","12",0,0
"2","2","12",0,0
"6","1","2",0,1
"2","2","11",0,0
"6","1","11",0,0
"2","1","1",0,0
"1","2","11",0,0
"3","2","12",0,0
"5","2","12",0,1
"3","1","11",0,0
"5","1","1",0,0
"3","2","11",0,1
"4","2","12",0,0
"1","2","11",0,0
"2","1","1",0,1
"3","2","2",0,1
"2","2","12",0,1
"3","2","10",0,0
"1","2","1",0,0
"2","1","12",0,1
"3","2","10",0,1
"2","1","12",0,0
"3","2","2",0,0
"3","2","13",0,1
"3","2","1",0,0
"2","2","12",0,0
"3","1","11",0,0
"3","2","2",0,1
"3","1","11",0,0
"1","2","1",0,0
"2","2","12",0,0
"2","2","1",0,1
"3","1","2",0,0
"3","2","2",0,0
"1","1","12",0,0
"3","2","12",0,1
"3","1","12",0,0
"3","2","10",0,1
"3","2","7",0,0
"2","1","3",0,0
"3","1","12",0,0
"3","2","12",0,0
"2","1","1",0,0
"6","2","2",0,0
"2","2","11",0,0
"3","2","12",0,1
"6","2","12",0,0
"3","1","12",0,1
"3","2","10",0,0
"1","3","1",0,0
"3","2","4",0,0
"3","1","2",0,0
"2","1","1",0,0
"6","2","10",0,0
"2","2","2",0,1
"2","1","3",0,0
"5","2","1",0,0
"6","2","12",0,0
"3","2","2",0,0
"6","2","12",0,0
"3","1","2",0,0
"6","2","10",0,1
"2","2","1",0,1
"2","1","11",0,0
"1","1","12",0,0
"5","1","12",0,0
"2","2","12",0,0
"1","2","1",0,1
"3","2","11",0,0
"6","2","12",0,0
"3","2","12",0,0
"3","1","12",0,0
"2","2","12",0,0
"6","1","1",0,0
"6","1","12",0,0
"2","2","12",0,1
"2","2","11",0,1
"1","1","12",0,0
"2","1","12",0,0
"1","1","1",0,1
"3","1","12",0,0
"2","1","1",0,0
"6","2","12",0,0
"3","1","12",0,1
"3","2","12",0,0
"2","1","12",0,0
"2","2","11",0,0
"2","2","12",0,0
"9","1","10",0,0
"3","2","1",0,0
"1","2","1",0,0
"2","2","1",0,0
"6","1","10",0,0
"6","2","12",0,0
"6","1","3",0,0
"2","2","12",0,1
"6","2","2",0,0
"3","1","1",0,0
"6","1","11",0,0
"2","1","1",0,0
"2","2","1",0,0
"2","1","11",0,0
"5","1","12",0,0
"3","2","2",0,0
"3","2","10",0,0
"2","1","11",0,0
"5","2","1",0,0
"3","2","1",0,0
"3","2","2",0,0
"3","1","2",0,1
"2","1","2",0,1
"2","1","12",0,0
"3","2","1",0,0
"6","1","2",0,0
"3","1","2",0,0
"2","1","1",0,0
"2","1","1",0,1
"3","2","12",0,0
"2","1","11",0,0
"6","1","5",0,0
"2","1","11",0,1
"4","1","11",0,1
"3","1","12",0,1
"2","1","11",0,1
"2","1","1",0,1
"6","2","11",0,1
"2","2","11",0,0
"2","2","2",0,1
"2","1","2",0,0
"3","2","10",0,0
"2","2","12",0,1
"2","2","1",0,0
"2","1","12",0,1
"6","2","1",0,0
"2","2","11",0,1
"2","2","12",0,0
"3","1","2",0,0
"2","2","12",0,1
"3","2","12",0,0
"2","2","12",0,1
"2","1","12",0,0
"3","1","3",0,0
"3","1","13",0,0
"6","1","3",0,1
"3","2","12",0,0
"2","1","12",0,0
"2","1","1",0,1
"2","1","12",0,0
"3","2","11",0,1
"4","2","11",0,0
"2","2","11",0,0
"3","2","4",0,0
"2","2","1",0,1
"2","1","1",0,0
"2","2","1",0,0
"2","1","2",0,0
"6","2","11",0,0
"2","1","12",0,0
"2","2","10",0,0
"3","1","1",0,0
"2","2","12",0,1
"2","1","11",0,1
"6","1","1",0,1
"6","2","1",0,0
"3","2","12",0,1
"3","2","2",0,0
"2","2","1",0,0
"3","2","12",0,1
"2","1","12",0,0
"1","2","10",0,0
"1","1","10",0,0
"2","1","1",0,0
"3","1","2",0,0
"2","1","12",0,0
"2","1","1",0,0
"2","1","12",0,0
"3","2","11",0,0
"6","2","12",0,0
"2","2","1",0,1
"6","1","2",0,0
"3","1","11",0,0
"3","2","12",0,0
"6","2","12",0,0
"6","2","1",0,0
"2","1","1",0,0
"3","1","2",0,0
"3","1","4",0,1
"2","1","11",0,0
"2","1","12",0,0
"3","2","12",0,1
"6","2","12",0,0
"6","1","1",0,0
"3","1","12",0,0
"6","2","2",0,1
"3","1","3",0,0
"3","1","11",0,0
"4","2","12",0,0
"2","2","1",0,1
"2","1","2",0,0
"3","2","1",0,0
"1","2","2",0,1
"2","1","1",0,0
"2","2","11",0,0
"2","2","2",0,0
"2","1","1",0,1
"6","1","12",0,0
"2","2","12",0,1
"3","2","12",0,0
"3","1","11",0,0
"3","1","12",0,0
"2","2","12",0,1
"3","2","10",0,0
"3","2","12",0,0
"2","1","1",0,0
"3","2","2",0,0
"2","1","12",0,1
"3","1","2",0,0
"1","1","1",0,1
"2","2","12",0,0
"2","1","11",0,0
"2","2","1",0,0
"3","1","12",0,0
"2","1","1",0,1
"2","1","4",0,0
"6","1","2",0,0
"5","2","12",0,1
"2","1","10",0,1
"2","1","11",0,0
"2","2","11",0,1
"3","1","1",0,0
"5","1","1",0,0
"6","1","11",0,0
"2","1","1",0,0
"3","1","12",0,0
"2","2","1",0,0
"3","1","2",0,0
"3","2","12",0,1
"2","2","1",0,0
"6","1","11",0,0
"6","2","11",0,1
"1","2","12",0,0
"3","1","11",0,0
"2","2","11",0,1
"2","1","12",0,1
"3","2","10",0,0
"6","2","11",0,1
"6","1","10",0,0
"2","1","12",0,1
"2","2","12",0,0
"2","1","1",0,1
"2","2","1",0,1
"6","2","4",0,1
"3","2","12",0,1
"3","1","2",0,0
"6","1","10",0,0
"6","1","10",0,1
"3","1","11",0,0
"6","2","2",0,1
"2","1","11",0,1
"6","1","1",0,0
"2","1","1",0,1
"3","2","2",0,1
"6","1","2",0,0
"1","2","12",0,0
"1","2","1",0,0
"2","2","12",0,0
"4","1","2",0,1
"3","1","12",0,0
"3","1","2",0,0
"3","2","11",0,0
"2","2","12",0,0
"2","1","1",0,0
"3","1","12",0,0
"3","2","2",0,0
"3","1","12",0,0
"3","1","10",0,0
"3","2","2",0,0
"3","2","2",0,0
"4","1","2",0,0
"1","2","11",0,0
"2","2","1",0,0
"3","1","2",0,1
"2","1","12",0,0
"6","2","10",0,0
"2","2","1",0,0
"6","2","12",0,0
"2","2","11",0,1
"3","2","10",0,1
"3","1","10",0,0
"3","1","10",0,0
"5","2","11",0,1
"1","2","12",0,0
"2","1","12",0,0
"2","1","1",0,0
"3","1","10",0,0
"3","2","1",0,0
"2","2","11",0,0
"3","1","2",0,0
"2","2","10",0,1
"1","2","2",0,0
"3","2","12",0,0
"2","2","1",0,0
"3","2","12",0,1
"3","2","12",0,1
"3","2","12",0,0
"3","1","3",0,0
"2","1","12",0,0
"3","1","12",0,0
"1","1","12",0,1
"2","2","12",0,1
"3","1","2",0,0
"1","2","11",0,0
"3","1","12",0,0
"3","1","3",0,1
"2","2","1",0,1
"4","1","11",0,0
"6","1","1",0,1
"2","2","12",0,1
"2","2","12",0,1
"3","2","2",0,0
"6","1","3",0,0
"3","2","12",0,0
"6","2","10",0,0
"3","2","3",0,0
"2","2","12",0,1
"2","2","12",0,0
"2","1","1",0,0
"2","1","12",0,1
"3","2","12",0,1
"1","1","11",0,0
"6","2","1",0,0
"6","2","10",0,1
"6","1","11",0,0
"3","1","10",0,0
"3","2","11",0,0
"2","1","12",0,0
"2","2","5",0,1
"6","2","2",0,0
"2","2","11",0,1
"2","1","12",0,0
"4","1","2",0,1
"3","2","2",0,0
"6","2","11",0,0
"2","2","12",0,1
"5","2","12",0,1
"3","2","2",0,1
"6","2","11",0,1
"2","1","12",0,0
"1","2","1",0,0
"2","1","1",0,0
"2","2","12",0,1
"2","2","1",0,0
"3","1","2",0,0
"2","2","12",0,1
"3","2","12",0,0
"2","1","1",0,0
"3","2","5",0,0
"2","2","12",0,0
"6","2","12",0,0
"3","1","2",0,0
"3","1","2",0,0
"3","2","11",0,1
"1","2","1",0,1
"2","1","1",0,0
"2","1","11",0,1
"4","1","2",0,0
"2","1","1",0,0
"2","2","12",0,0
"3","2","2",0,0
"2","1","1",0,0
"3","1","2",0,0
"2","2","12",0,0
"2","2","3",0,0
"2","2","1",0,1
"2","2","1",0,1
"2","2","12",0,1
"1","2","1",0,1
"3","2","2",0,1
"3","1","12",0,0
"2","1","1",0,1
"2","2","12",0,0
"3","2","12",0,1
"2","1","1",0,0
"3","2","10",0,1
"4","1","12",0,0
"2","1","12",0,0
"3","2","2",0,0
"2","2","12",0,0
"3","1","2",0,0
"3","1","2",0,0
"3","2","2",0,0
"2","2","1",0,1
"2","2","1",0,0
"2","2","1",0,1
"2","2","12",0,1
"4","1","12",0,1
"3","2","2",0,0
"3","2","3",0,1
"2","2","11",0,1
"3","2","12",0,0
"2","2","1",0,1
"3","1","12",0,0
"3","2","12",0,0
"3","2","11",0,1
"3","1","1",0,1
"3","2","10",0,0
"2","1","11",0,1
"3","2","2",0,0
"2","1","1",0,1
"3","2","7",0,1
"5","2","12",0,1
"6","2","1",0,0
"3","2","2",0,1
"1","1","1",0,0
"2","1","1",0,1
"2","1","11",0,0
"2","2","12",0,1
"2","1","1",0,0
"3","2","4",0,0
"3","2","11",0,0
"3","1","2",0,0
"3","2","4",0,0
"2","2","3",0,1
"1","1","1",0,0
"2","1","11",0,0
"3","2","1",0,0
"2","2","12",0,1
"6","2","4",0,0
"3","1","11",0,0
"6","2","1",0,0
"3","1","2",0,1
"6","1","12",0,0
"6","2","12",0,0
"3","2","2",0,0
"3","2","2",0,0
"3","1","2",0,0
"2","1","4",0,1
"3","1","12",0,0
"2","1","5",0,1
"2","1","11",0,0
"2","2","11",0,1
"2","2","11",0,1
"2","1","11",0,0
"3","2","12",0,1
"1","1","10",0,0
"3","2","2",0,0
"6","1","2",0,0
"3","2","2",0,0
"4","1","10",0,0
"2","1","12",0,0
"6","1","6",0,0
"5","1","11",0,1
"3","1","2",0,1
"2","1","1",0,0
"6","2","12",0,0
"2","2","11",0,1
"3","2","1",0,0
"2","1","10",0,0
"1","2","1",0,0
"3","1","11",0,0
"3","2","12",0,0
"2","1","1",0,0
"2","2","11",0,1
"2","2","12",0,0
"3","2","12",0,0
"2","2","12",0,0
"2","2","12",0,0
"2","2","4",0,1
"2","2","1",0,1
"2","1","1",0,1
"1","2","12",0,1
"3","2","12",0,1
"6","2","1",0,0
"3","1","11",0,0
"2","1","1",0,0
"2","2","12",0,1
"3","2","11",0,1
"6","1","11",0,1
"2","2","12",0,0
"6","2","12",0,1
"1","2","1",0,0
"2","2","5",0,1
"2","1","11",0,1
"2","1","1",0,0
"6","2","10",0,0
"2","2","1",0,0
"2","1","1",0,0
"3","1","2",0,0
"5","1","12",0,0
"2","2","1",0,0
"2","1","12",0,0
"2","1","10",0,1
"2","1","11",0,0
"2","1","1",0,0
"2","1","1",0,0
"4","2","10",0,0
"2","1","1",0,0
"2","2","1",0,1
"3","2","2",0,0
"3","2","12",0,0
"2","2","11",0,0
"3","2","11",0,0
"3","2","12",0,0
"3","1","12",0,0
"3","2","10",0,1
"6","2","12",0,0
"2","1","1",0,0
"2","1","12",0,0
"3","2","2",0,0
"2","1","1",0,0
"2","1","12",0,0
"3","2","12",0,0
"3","1","12",0,1
"3","1","11",0,0
"6","1","2",0,0
"3","2","2",0,0
"6","2","3",0,0
"5","2","12",0,1
"2","2","12",0,1
"6","1","1",0,0
"2","2","12",0,1
"3","2","1",0,0
"6","2","12",0,0
"3","2","12",0,1
"2","2","1",0,1
"6","2","5",0,0
"2","1","12",0,1
"6","2","1",0,0
"2","1","12",0,0
"3","2","2",0,0
"2","1","12",0,1
"2","2","11",0,1
"2","2","12",0,0
"3","2","11",0,0
"2","1","1",0,0
"2","1","11",0,0
"2","1","12",0,0
"3","1","12",0,1
"3","2","2",0,0
"3","2","12",0,1
"3","2","1",0,1
"3","1","12",0,0
"2","2","12",0,0
"2","1","12",0,0
"2","2","10",0,1
"3","1","1",0,0
"3","1","1",0,1
"2","1","1",0,0
"3","1","12",0,0
"3","2","3",0,0
"2","1","11",0,0
"3","1","2",0,0
"3","2","1",0,1
"2","1","10",0,1
"2","2","1",0,1
"2","1","11",0,0
"4","1","12",0,0
"3","2","12",0,1
"3","1","12",0,0
"2","2","1",0,1
"3","2","10",0,0
"3","1","7",0,0
"3","1","2",0,0
"3","2","11",0,1
"3","1","12",0,0
"2","2","12",0,1
"2","2","12",0,0
"3","2","3",0,0
"3","2","1",0,1
"2","2","12",0,1
"2","1","12",0,1
"3","1","11",0,1
"2","2","1",0,1
"3","1","11",0,0
"3","1","12",0,0
"1","2","12",0,1
"6","2","12",0,0
"6","1","1",0,0
"1","2","12",0,1
"3","1","11",0,0
"2","1","12",0,1
"2","2","12",0,0
"8","2","1",0,0
"2","1","1",0,0
"3","2","2",0,0
"3","2","10",0,1
"3","2","12",0,1
"3","1","2",0,0
"1","2","1",0,0
"3","1","1",0,0
"2","2","1",0,0
"3","2","10",0,0
"2","1","1",0,0
"2","1","12",0,1
"2","1","11",0,1
"1","2","1",0,0
"2","1","12",0,0
"2","1","12",0,0
"2","1","11",0,0
"6","1","10",0,0
"2","1","1",0,0
"1","1","1",0,0
"2","2","12",0,0
"3","2","2",0,0
"6","1","2",0,1
"1","1","12",0,0
"2","1","12",0,1
"6","2","12",0,0
"2","2","6",0,0
"2","1","1",0,0
"2","1","1",0,0
"3","1","2",0,0
"3","1","3",0,0
"3","2","3",0,0
"2","1","1",0,0
"2","1","12",0,0
"5","2","1",0,1
"2","1","1",0,0
"3","1","10",0,0
"3","2","12",0,1
"6","2","2",0,0
"2","1","1",0,0
"2","1","1",0,1
"3","1","12",0,1
"2","2","5",0,1
"2","1","10",0,0
"2","2","12",0,1
"2","2","12",0,1
"3","1","12",0,0
"2","1","12",0,0
"2","2","1",0,0
"2","2","11",0,1
"2","1","1",0,1
"1","2","11",0,0
"1","2","1",0,0
"3","1","12",0,0
"6","2","2",0,0
"2","2","11",0,1
"3","1","10",0,1
"2","1","1",0,0
"2","1","1",0,0
"3","1","12",0,0
"2","2","5",0,1
"6","1","10",0,0
"2","2","10",0,0
"6","1","11",0,0
"2","2","1",0,0
"2","1","1",0,0
"2","1","12",0,0
"5","1","2",0,1
"3","1","12",0,0
"6","1","2",0,0
"2","2","1",0,1
"2","1","12",0,0
"3","1","11",0,1
"2","1","12",0,0
"2","2","2",0,0
"3","2","4",0,0
"2","2","1",0,1
"2","1","1",0,0
"3","2","2",0,1
"3","2","12",0,1
"2","2","12",0,1
"2","2","11",0,1
"3","1","12",0,0
"1","2","11",0,0
"3","2","12",0,0
"1","1","12",0,1
"2","2","1",0,0
"2","1","11",0,1
"2","2","12",0,1
"3","2","12",0,0
"3","1","10",0,0
"3","1","10",0,1
"3","1","1",0,0
"6","1","12",0,0
"3","2","2",0,0
"6","1","12",0,0
"6","2","1",0,0
"2","2","1",0,1
"1","1","2",0,0
"6","2","1",0,0
"2","1","2",0,1
"2","1","1",0,0
"2","2","10",0,1
